,Header,Summary,Detail,Link,Category,CreationDate
0,Policewomen deputed on patrol duty in Diplomatic Enclave,ISLAMABAD: Foot patrolling by policewomen began in Diplomatic Enclave on Monday.,"ISLAMABAD: Foot patrolling by policewomen began in Diplomatic Enclave on Monday.
Police officers told Dawn that a contingent of 28 policewomen started patrolling inside the Diplomatic Enclave on Monday to show police presence around foreign missions. 
The enclave has been divided into nine parts. The police officials are equipped with MP-5 guns, the officers said, adding that the patrolling officers are supervising arrangements and will report on wireless after every hour to officers concerned.
The patrolling of the policewomen was started with the objective of ensuring the safety and security of Diplomatic Enclave and preventing any act of terrorism or sabotage, they added.
The patrolling staff has been instructed to physically check the area and anything suspicious will be immediately reported to the Bomb Disposal Staff for removal, all relevant information having effect on security will be immediately passed to the supervisory officer, the officers said, adding that the in-charges will ensure the presence of employees deputed on duty and also verify their identities.
Besides this, the in-charge will ensure that constables deputed on duty do not use mobile phones and they have displayed their official identity cards and get signatures on a pro forma from all the personnel performing duty and will brief them about their duty, they said, adding that all officers will remain vigilant and any suspected person, vehicles, motorcycle etc, will be immediately reported to senior officers including traffic police and special branch.
Officers have been instructed to carry water bottles, umbrellas, sun-hats, torches, reflecting jackets and rain coats. The instructions will be communicated to all police officials and officers on duty through briefing, prior to deployment, they said, adding that the officers must also be briefed on any threats received and current security situation, issues and information.
All police officers will ensure the compliance of orders and instructions issued by senior command, as per situation, the officers said.
The supervisory officer will properly brief and ensure that all duties are in position according to the security order, implement all instructions given in the security order, check the turn-out of police officials and gear issued to them and use their judgment to ensure any other additional measure required for security as the situation warrants.
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751626/policewomen-deputed-on-patrol-duty-in-diplomatic-enclave,islamabad,2023-05-09
1,"In a first, CDA to launch Rs10 billion projects in Islamabad's rural areas",Tender called for award of contracts to rehabilitate roads worth Rs2.8 billion.,"ISLAMABAD: The Capital Development Authority (CDA) while expanding its scope of work is going to launch mega development projects in rural areas and has called bids in this regard.
The engineering wing has called tenders from construction firms to award contracts of 17 projects worth Rs2.8 billion in the first phase of the total Rs10 billion projects for rural areas.
The 17 projects are supposed to be completed in three month as sources said the government wanted early and timely completion of all the development works in Islamabad.
According to the tender documents, the CDA will carry out rehabilitation and upgradation work on Shah Allah Ditta road up to Alexander Well with Rs380 million estimated cost while rehabilitation of the main Golra Road will be carried out at a cost of Rs144 million and that of Jodh and Sarai Kharboza road with an estimated cost of Rs135 million. 
Under another project worth Rs130 million, roads in Golra, Sangjani and other areas will be rehabilitated. 

Tender called for award of contracts to rehabilitate roads worth Rs2.8 billion

Meanwhile, the rehabilitation of Simly Dam road, Sewer and Jandghand roads will be done with an estimated cost of Rs120 million. Similarly, a project worth Rs141 million for rehabilitation of roads in Gokina, Mandla and Bari Imam, Sanjalian and Banigala will also be carried out.
Through a project of Rs160 million, Phulgran and Sakreela and Member roads will be rehabilitated while Rs151 million will be spent on the construction of Naiabadi to Huzaifa Town road and internal roads of Bhara Kahu and Malpur. 
The rehabilitation of Sihala Japan road and other schemes for Khana, Golra Mast and other rural areas are also included in the tender documents.
“We took ICT’s local department on board for these projects; they helped us and identified the areas, towns and roads. We then prepared PC-I and now our advertisement will be published for calling tenders,” said CDA’s director work Tahir Mahmood. He said the schemes had equally been distributed among all union councils. 
Asked about the bid documents which focused on road works, he said: “Besides roads, streets work is also included and soon another tender will be called in the second phase.” 
Traditionally, the CDA used to carry out development work only in urban areas and on some occasions it constructed roads in rural areas as well. 
Islamabad’s local government department, which falls under the administrative control of Islamabad Capital Territory (ICT) administration, used to do development work in rural areas.
However, for the first time in the history of the CDA it is going to start development works in Union Councils in all three constituencies of Islamabad. 
In February this year, Prime Minister Shehbaz Sharif at a meeting had given the go-ahead signal to the CDA to carry out mega development projects worth Rs10 billion in rural areas.
However, PML-N Secretary General NA-53 Sardar Mehtab Advocate said these projects had nothing to do with politics and upcoming elections rather the CDA is going to carry out due work in rural areas. 
Mr Mehtab, who is also a former additional legal adviser to the CDA, said according to CDA Ordinance 1960 the civic agency was supposed to do development projects in entire Islamabad. 
“Regardless of party affiliation, people of rural areas deserve provision of all basic facilities and there should be no urban and rural divide,” he said.
Last year, the CDA had showed its willingness to carry out development work in the rural areas, and a proposal in this regard was taken up by the CDA’s Development Working Party (DWP). However, the matter was deferred as the federal government’s approval was required. 
The prime minister finally gave the go-ahead to the CDA to initiate development work in the rural areas in February.
According to a press release issued by the PM Office in February, when Prime Minister Sharif was informed that the CDA had earmarked Rs10 billion for the rural areas. The prime minister was told that the fund would be utilised on solid waste management projects, sewerage system, construction of roads, repair work and on schemes related to public transport.
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751625/in-a-first-cda-to-launch-rs10-billion-projects-in-islamabads-rural-areas,islamabad,2023-05-09
2,"Another body formed to investigate sale, purchase in health dept",RAWALPINDI: Punjab Primary and Secondary health department on Monday formed third committee to investigate over ...,"RAWALPINDI: Punjab Primary and Secondary health department on Monday formed third committee to investigate over Rs170 million irregularities in sale and purchase of District Health Authority during Covid-19 epidemic.
The three-member committee comprised Additional Secretary Reforms and Initiatives Punjab Primary and Secondary Health department as convener and Director Health services and Public Health Specialist as members.
The committee had been given the mandate to investigate and submit report within 14 days on the complaint of Chief Executive Officer of District Health Authority about the accounts of sale and purchase branch for fiscal year 2019-20, 2020-21 and 2021-22.
Earlier, the committee formed in February, which supposed to submit the report on May 8, was dissolved and formed third committee.
According to the sources, after the audit objections, the competent authorities formed the first inquiry committee on Dec 26, 2022. In which the Director of Health Services Dr. Asadur Rehman, Wah Hospital Medical Superintendent Dr Saadat Ali Khan and Finance Manager Mohammad Aqib Khan were part of the committee.
On February 27, 2023, the committee sent the matter to the Secretary Health in a 10-page inquiry report, after conducting a regular inquiry in 30 days, recovered Rs60 million and recommended action against then district officer Health sale and purchase and accounts under the PEDA Act.
On which the Secretary Primary and Secondary Health Punjab formed secondcommittee on April 14, 2023. The committee has to submit the report on May 8 but before this committee has been abolished and a new notification has been issued.
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751623/another-body-formed-to-investigate-sale-purchase-in-health-dept,islamabad,2023-05-09
3,PTI plans public gatherings in all Islamabad UCs on 14th,PTI Islamabad region president has formally written a letter to the deputy commissioner seeking permission.,"ISLAMABAD: Pakistan Tehreek-i-lnsaf (PTI) has decided to hold public meetings in all the 101 union councils of Islamabad on May 14 on the call of PTI ChairmanImran Khan to express solidarity with the constitution, Chief Justice of Pakistan (CJP) Umar Ata Bandial and the Supreme Court.
PTI Islamabad region President Ali Nawaz Awan has formally written a letter to Deputy Commissioner Irfan Nawaz Memon seeking permission to hold the ‘peaceful assembly’ in the capital.
He said PTI would organise peaceful gatherings at 101 designated places to express solidarity with the constitution, CJP and the judiciary at 4pm on May 14.
He stated that the constitution provided every citizen fundamental rights of freedom of movement, assembly, speech and freedom of association as envisaged under Article 15, 16, 17 and 19.
The letter reads: “SC and the Islamabad High Court have also settled that the Civil Administration shall administer in such a manner that no fundamental right of any citizen shall infringe as a result of the acts of their good office(s).”

Demands removal of police chief

It added: “IHC recently held that the fundamental rights under Articles 15, 16, 17 and 19 of the Constitution of the petitioner i.e. PTI were involved and also ordered that the same shall not be prejudiced at the hands of the respondent i.e. your office.”
Mr Awan said PTI had managed protests, rallies and peaceful assemblies at various locations of Islamabad during the last one year during which not even once a single pot was broken.
He said PTI Islamabad had full right to hold public gatherings in support of the constitution, CJP and the apex court.
In view of the supremacy of the constitution, he requested that the Islamabad administration should make necessary security arrangements for these public gatherings.
While talking to Dawn, Mr Awan claimed that despite seeking approval from the IHC the district administration had not allowed the PTI to hold rallies and dozens of workers were arrested on May 6.
“We had sought approval [for the rally] from IHC judge Babar Sattar…but the government did not accept the court orders. Now we have submitted an application to the district administration,” he said.
Meanwhile, PTI leaders on Monday demanded the removal of Inspector General (IG) Dr Akbar Nasir Khan, claiming the Islamabad police “dragged and detained” women supporters of the party as well as innocent children during a rally held to show solidarity with the judiciary on Saturday.
In a press conference held in the federal capital by Shireen Mazari and Ali Nawaz Awan, the party also urged the United Nations human rights organisations to take notice of the gross violations of human rights by the capital police.
Ms Mazari said that international human rights bodies should take notice of the “barbarism” on PTI women unleashed by the Islamabad police. She made it clear that they would not tolerate this “fascism anymore”.
She went on to say that the Constitution was virtually dysfunctional since the ouster of the PTI government and claimed that the laws were being flouted and openly violated during the last year. She said that Pakistan was a member of seven conventions, including the International Covenant on Civil and Political Rights (ICCPR) and the Convention Against Torture and added that violence against peaceful protesters and detainees was a clear violation of these agreements.
She said that the deputy commissioner, Irfan Nawaz Memon, also committed contempt of court, as Islamabad High Court judge Babar Sattar gave clear instructions to the admin to permit the PTI to hold a peaceful protest, but the party was denied its fundamental and constitutional rights.
Ms Mazari reiterated that peaceful gathering was their constitutional and fundamental right but raids were carried out by unknown persons in civilian clothes without any warrants in a bid to intimidate and terrify the party workers. However, she made it clear that all such tactics would not work and they would not remain silent on this anymore.
‘Over 1300 booked’
Speaking on the occasion, Ali Nawaz Awan said that PTI workers were detained without warrants before the solidarity rally on Saturday. He said that two PTI women were waiting on a footpath to welcome the PTI rally outside F-9 Park but they were detained and tortured by police.
The PTI Islamabad president stated that during the last year, the Islamabad police “crossed all limits of cruelties”, as the IG Islamabad was specially called in from Lahore for this purpose and the situation was in front of everyone. He said that FIRs were lodged against 1,350 PTI supporters and several people were arrested during the last year, adding that arrests were being made without search warrants.
He alleged that a total of 61 people were arrested on May 6, and 509 people were detained on March 18 which was the reason the IG was awarded Tamgha-i-Shujaat. Mr Awan also called out the Islamabad police for poor policing and said vehicles worth Rs1.5 billion were stolen from the capital in one year while the police were busy repressing the PTI. At least six people were killed in one month while the land mafia claimed 50 lives in a year. “We don’t want IG police like Nasir in Islamabad,” he added. Ali Nawaz Awan announced that the PTI would take out peaceful rallies again on May 14 to express solidarity with the Supreme Court.
Speaking on the occasion, Shomaila and Mehwish – PTI women activists who were arrested from the rally – told the media that they were mistreated and manhandled by the police officials.
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751622/pti-plans-public-gatherings-in-all-islamabad-ucs-on-14th,islamabad,2023-05-09
4,Three murdered in different incidents,RAWALPINDI: Two brothers and a woman were murdered in separate incidents in Kallar Syedan and Dhamial over petty...,"RAWALPINDI: Two brothers and a woman were murdered in separate incidents in Kallar Syedan and Dhamial over petty issues, police said on Monday.
In the first incident, a woman was shot dead by her son after she refused to give him money to buy a car in Dhamial. Adeel Khan lodged a first information report (FIR) with police saying that his mother Tasleem Bibi had been residing with her other sons. On Sunday, he said one of them got into an argument with her and asked her for Rs400,000 to buy a car.
He added that he along with his uncle tried to persuade his brother (the suspect) to not fight with his mother. However, he did not listen and shot her.
In the second incident, two brothers were murdered in Kallar Syedan after midnight when unidentified gunmen raided their house.
Karamat Hussain said in the FIR that he was a resident of Kahuta, and had gone to visit his brother Pervez Akhtar on Sunday. He said he and his brother Pervez, 59, with his wife and niece were sitting in the courtyard after having dinner.
He said at about 1:30am they saw three armed persons who started scuffling with his brother Pervez.
When his brother’s wife intervened, she and her husband were beaten with pistols. He said his brother Pervez ran towards a room to save himself but one of the gunmen followed him and fired a gunshot at him injuring him critically.
He said on hearing all this, his younger brother Tariq Mehmood who had been living in the neighbourhood rushed to rescue his brother but was shot as well.
He said that the attackers managed to escape from the scene, however, the injured were removed to Tehsil Headquarters (THQ) hospital and the District Headquarters (DHQ) hospital. Tariq Mehmood was pronounced dead by the doctors at THQ hospital while Pervez Akhtar succumbed to his injuries while being shifted to the DHQ hospital Rawalpindi.
He further said that he and his brother’s wife can identify the suspects, if produced before them. The police have termed the double murder as the outcome of an old enmity, but the complainant has not expressed this in the FIR.
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751621/three-murdered-in-different-incidents,islamabad,2023-05-09
5,"Four patrol cars, 18 bikes added to traffic police fleet",RAWALPINDI: The City Traffic Police have added four patrol cars and 18 motorcycles to its fleet to enhance the...,"RAWALPINDI: The City Traffic Police have added four patrol cars and 18 motorcycles to its fleet to enhance the presence of officers across essential intersections and to maintain flow of traffic though the traffic police have been facing manpower shortage.
At a ceremony held at the traffic police headquarters, the four new Suzuki Cultus 1000cc with flashing emergency lights on their rooftops and 18 Honda 125cc motorcycles were handed over to senior traffic wardens by City Police Officer (CPO) Syed Khalid Mehmood Hamdani. Chief Traffic Officer Taimoor Khan was also present.
The CPO said the traffic personnel were being provided with all possible resources which can be used in the field.
He told the wardens that your first responsibility was to improve the traffic system. Supervisory traffic officers should fulfil their responsibilities, adding the performance of the personnel was being evaluated. 
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751620/four-patrol-cars-18-bikes-added-to-traffic-police-fleet,islamabad,2023-05-09
6,"Murree Road, Commercial Market cleared of encroachments: RMC",RAWALPINDI: The Rawalpindi Municipal Corporation (RMC) on Monday claimed that Murree Road and Commercial Market are...,"RAWALPINDI: The Rawalpindi Municipal Corporation (RMC) on Monday claimed that Murree Road and Commercial Market are now free from encroachments and on the direction of the divisional commissioner the downtown area will also be cleared of encroachments.
Commissioner Liaquat Ali Chattha at a review meeting directed the officials concerned to intensify the ongoing operation against encroachments.
The meeting was attended by Rawalpindi Traders Association President Shahid Ghafoor Paracha, Chief Officer Municipal Corporation Chaudhry Amjad and other officers as well traders.
The commissioner said the deadline given to the shopkeepers had expired, so no more relaxation will be given in this regard. He directed Rawalpindi Municipal Corporation (RMC) to launch the second phase of the anti-encroachment operation in four other markets.
These markets are: Bara Bazaar, Talwara Bazaar, Sabzi Mandi and China Market. He said that notices should be issued to the shopkeepers where there were encroachments in which they should be given three days to remove them from their surroundings.
The commissioner said strict action should also be taken against shopkeepers whose electricity connections were being used by those involved in encroachments.
Fines, FIRs and licence cancellation should be imposed against such shopkeepers. He said the most burning issue of Rawalpindi was encroachment which had affected all sectors of life. Practical steps are being taken to eliminate encroachments.
He claimed that Murree Road will be made a model soon and no one will be allowed to set up illegal stalls there. Action will be taken against shop owners who allowed stalls and carts to occupy space in front of their shops, he said.
The commissioner said the anti-encroachment operation had been started with the cooperation of the business community. Their cooperation to end encroachments is commendable.
Meanwhile, Deputy Commissioner Hasan Waqar Cheema said that there will be no compromise on illegal constructions in Murree. The materials used in illegal constructions as well as machinery should be confiscated. He said illegal buildings should be sealed.
He said this while presiding over a meeting regarding prevention of illegal construction in Murree in his office.
Additional Deputy Commissioner Revenue Murree retired Capt Qasim Ijaz gave a briefing about the ongoing operation against illegal constructions and encroachments in Murree.
The deputy commissioner directed that the operation against all illegal constructions and encroachments should be continued.
The additional deputy commissioner revenue said the operation against illegal constructions on Upper Jheeka Gali Road was going on.
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751619/murree-road-commercial-market-cleared-of-encroachments-rmc,islamabad,2023-05-09
7,Woman accused of extorting money arrested,"TAXILA: The Taxila police arrested a woman, posing a police officer, for extorting money worth Rs400,000 from a ...","TAXILA: The Taxila police arrested a woman, posing a police officer, for extorting money worth Rs400,000 from a man.
Talking to newsmen here on Monday, SP Potohar division Waqas Khan said that the woman with her gang, which includes some police officials, impersonating herself as sub-inspector intercepted a car and “took into custody” the car driver on charges of smuggling drugs in the limits of Taxila police station.
Later the man was released from illegal detention after getting illegal gratification worth Rs400,000. He said that after getting a complaint, Taxila police SHO Sarmad Ilyas traced the woman, stated to be the ringleader of the gang.
“The extorted money was also recovered from her possession,” he added.
The SP has said that the woman was arrested.
He further revealed that Taxila police on Monday busted a robbers’ gang and arrested their two members besides recovering looted items and weapons utilised in various crimes. 
He said that a police team raided the secret hideout of the gang identified as ‘Hamza gang’ and arrested their three members including the ringleader and his companion.
He said motorcycles, cash and mobile phones were also recovered. 
He further said that the same police arrested a drugs peddler and recovered 1.5kg hashish from his possession. He said that separate cases had been registered against the accused.
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751618/woman-accused-of-extorting-money-arrested,islamabad,2023-05-09
8,Water filtration plants in Pindi division to be upgraded,RAWALPINDI: Six district administrations plan to upgrade 323 out of total 329 water filtration plants functioning in...,"RAWALPINDI: Six district administrations plan to upgrade 323 out of total 329 water filtration plants functioning in Rawalpindi division.
This was informed a meeting held in commissioner’s office to review the functioning of filtration plants in six districts of Rawalpindi division including Rawalpindi, Attock, Chakwal, Jhelum, Murree and Talagang.
The dysfunctional filtration plants will be operational within a week, the meeting was informed.
The commissioner directed that the Executive Engineer public health should be assigned duty in every district to conduct water testing of all filtration plants, to ensure the quality of water. Punjab caretaker minister for primary and secondary health Dr Jamal Nasir also attended the meeting along with Rawalpindi Commissioner Liaquat Ali Chattha.
The commissioner said that the Punjab caretaker government was committed to providing clean drinking water to the people, therefore, along with the installation of new plants, it is also necessary to ensure that every plant already installed is fully functional.He directed that all the filtration plants should be fully operational with in one week.
Liaquat Ali Chattha said that every filtration plant should be given a universal number and the details of who is responsible for the maintenance of this plant. He said that cleanliness of the filtration plant is very important, the staff responsible for the safety of the plant should take special care of cleanliness.
He said that providing clean drinking water is our responsibility as well as a good work, in which we have to work with full responsibility. Apart from this, the surrounding philanthropists should also be encouraged to participate in this charity so that more and more filtration plants can be installed to provide clean drinking water to the people.
On this occasion, while briefing about the details of the existing filtration plants in Rawalpindi Division, it was informed that there are a total of 329 filtration plants in Rawalpindi Division, of which 323 are functional and six are non-functional.
According to the details, there are 163 out of 168 functional filtration plants in Rawalpindi district.Attock district has a total of 66 plants out of which 64 are operational.Similarly, seven of the total eight plants are operational in Chakwal while total 87 filtration plants of Jhelum district are complete and operational.
Liaquat Ali Chatha directed that this figure should be 100pc by removing the bottlenecks in the non-functional plants by next week, after which the third party validation of these plants will also be done.
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751617/water-filtration-plants-in-pindi-division-to-be-upgraded,islamabad,2023-05-09
9,Thalassaemia patients to be thoroughly facilitated: Pims head,"Walk to raise awareness about disease organised; screening, tests of children to be done free-of-cost next week","ISLAMABAD: Walks were held on Monday at Pakistan Institute of Medical Sciences (Pims) and F-9 Park to observe World Thalassaemia and Red Cross/Red Crescent Days.
Pims Executive Director Dr Rana Imran Sikandar said that all possible facilities would be provided to children suffering from the disease. In charge of the blood bank Dr Farwa Sajeel said that staff of the blood bank will take all possible steps to ensure timely supply of blood to children.
Another speaker, Tanveer Noshahi, said children, suffering from thalassaemia deserved attention of the whole society.
It is worth mentioning that according to estimates, over 100,000 thalassaemia major patients exist in the country. There are three types of thalassaemia: minor, major and intermedia. Persons with thalassaemia major suffer all their life and patients with thalassaemia intermedia can get thalassaemia major any time whereas persons with thalassaemia minor live normally but still carry the virus of the disease and can transmit it to their offspring.

Walk to raise awareness about disease organised; screening, tests of children to be done free-of-cost next week

Due to the disease, the body stops making red blood cells due to which blood is given to the patients. The only cure for it is a bone marrow transplant which is not only very expensive but requires a donor. The disease can be detected with a simple blood test and patients have to take medicines worth thousands of rupees and blood once and sometimes twice a month.
World Red Cross Red Crescent Day
The Pakistan Red Crescent Society (PRCS) and the International Committee of the Red Cross (ICRC) jointly organised an awareness walk at F-9 Park on Monday in connection with Red Cross Red Crescent Day celebrations under the theme ‘Everything we do comes #fromtheheart’.
The walk was aimed at raising public awareness about the humanitarian work carried out by PRCS and the Red Cross Red Crescent Movement partners in Pakistan.
The event was attended by PRCS Secretary General Mohammad Abaidullah Khan, staff from PRCS, ICRC and other partners in Pakistan including the Turkish Red Crescent, Norwegian Red Cross, and German Red Cross, as well as volunteers, students, and people from different walks of life.
The participants carried banners and placards with messages highlighting the importance of humanitarian work. A cake-cutting ceremony was also held to mark celebrations.
PRCS Chairman Sardar Shahid Ahmed Laghari said that in Pakistan, organisations continued to face numerous humanitarian challenges, from natural disasters such as earthquakes and floods to conflict-induced displacement and food insecurity and in such difficult times, PRCS, along with its partners, has remained steadfast in its commitment towards providing essential humanitarian assistance to those in need.
“Let us continue to work together, from the heart, towards a more just and equitable world,” he said.
Rawalpindi
The Punjab caretaker government will provide all medical facilities to thalassaemia patients and in this regard, the screening of children and all tests will be done free-of-cost next week and 100 percent treatment will be ensured along with vaccination of sick children. 
This was stated by Punjab caretaker Minister Dr Jamal Nasir while speaking as a special guest at the event organised by the Thalassaemia Welfare Society.
He said the day is celebrated to raise awareness about thalassaemia, worldwide, adding that donors should play their role to help children suffering from the disease. Thalassaemia Society President retired Major General Sohaib, retired Lt General Kamal Akbar, Professor Abdul Qayyum, Dr Lubna Zafar, Dr Zahra, Dr Shahzad, Dr Naima, patients and their family members participated in the ceremony.
Dr Nasir said that the purpose of organising the ceremony was to share the happiness of people affected by thalassaemia and their families and to pay homage to their courage and independence. He said that thalassaemia is a hereditary disease that is transmitted from parents to children. Due to lack of awareness about hereditary diseases, the rate of spread of this disease is increasing, he added.
Published in Dawn, May 9th, 2023
",https://www.dawn.com/news/1751616/thalassaemia-patients-to-be-thoroughly-facilitated-pims-head,islamabad,2023-05-09
