,Header,Summary,Detail,Link,Category,CreationDate
0,PHC moved to change mode of filling minority seats in assemblies,Petitioners want representatives of non-Muslims elected directly,"PESHAWAR: Two members of a religious minority on Saturday moved Peshawar High Court, challenging the constitutional provisions of reserved seats for non-Muslims and requesting for issuance of directives for holding direct elections on their seats for National and provincial assemblies.
The two members of Christian community, Rameez Alam and Anil Maseeh, through a joint petition requested the high court to declare as undemocratic and unconstitutional the provisions of Constitution (Eighteenth Amendment) Act, 2010, through which changes were made in Constitution and mechanism for filling the reserved seats for non-Muslims was changed.
They requested the court to declare that the said mode of filling reserved seats was violative of fundamental rights and not in line with the preamble of Constitution. The petitioners also prayed the court to restore the pre-amendments Article 51(6) and 106 (3) of Constitution.
The petition filed through Advocate Nouman Muhib Kakakhel includes the federal secretaries of cabinet and law divisions as respondents.

Petitioners want representatives of non-Muslims elected directly

The petitioners stated that after amendments in Article 51 and 106, the members of minority communities on the seats reserved for non-Muslims were elected on basis of proportional representation system instead of being directly elected by the minorities. They said that earlier religious minorities had the power to vote and elect their representative and offer themselves for elections.
However, they said, due to the impugned amendments it was changed to an undemocratic system wherein neither the minorities could offer themselves to contest elections, nor vote for their representatives hence the elected people were not true representatives of the community.
“The preamble of Constitution provides for safeguarding of legitimate interests of minorities and this amendment is violative of the preamble of Constitution hence liable to be struck down to this extent,” they contended.
They said that the present provisions were in violation of the Objective Resolution, which was now part of Constitution to safeguarded the rights of minorities.
The petitioners contended that after the said amendments, true representatives of the community were not being empowered to represent rather leaders were imposed on them by Muslim majority political parties.
They claimed that the persons mentioned by political parties in their priority lists of candidates on minority seats in legislative assembly had no connection with the public and even refused to meet them citing reasons of not being elected though their votes which was against the principles of democracy and responsible representation.
They said that the undemocratic setup for the minority communities left them voiceless as people alien to them were selected by political parties. They added that the persons elected on reserved seats worked on the command of their respective parties instead of looking after the interests of minorities.
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805597/phc-moved-to-change-mode-of-filling-minority-seats-in-assemblies,peshawar,2024-01-14
1,Sherpao opposes calls for delaying polls,"CHARSADDA: Opposing the calls for delaying the polls, Qaumi Watan Party chairman Aftab Ahmad Khan Sherpao on ...","CHARSADDA: Opposing the calls for delaying the polls, Qaumi Watan Party chairman Aftab Ahmad Khan Sherpao on Saturday said that the general election must be held on its scheduled date to enable the people to elect their representatives.
Speaking at a gathering of party workers in Sherpao village here, he opposed postponing the elections on the pretext of deteriorating law and order and harsh weather, adding that this would further complicate the situation. He maintained that elections were the only way to bring political and economic stability to the country.
Aftab Sherpao said the political parties should join hands to help steer the country out of the prevailing crises. He said after the polls, the political parties should work together to revive the economy and improve the worsening law and order.
He urged the people to use their right to vote in order to send their representatives to the assemblies so that they could work for the uplift of their areas. “We will spare no effort to serve the people,” he vowed.
He said his party had always served the people as it believed in working for the development of the Khyber Pakhtunkhwa province.
Aftab Sherpao said the voters must not fall for catchy slogans and empty pledges as opportunists were once again out to deceive them. He advised the voters to check the track record of the candidates before voting for them.
He said that nobody cared to raise voice for the rights of Khyber Pakhtunkhwa facing financial crunch. He said all uplift projects in KP were placed on the backburner.
The QWP leader said the PTI ruled KP for almost a decade, but left the province in dire financial straits. He said the province was buried under huge loans. He said that experiments with the political system caused colossal loss to the economy, therefore, such practices should be stopped.
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805596/sherpao-opposes-calls-for-delaying-polls,peshawar,2024-01-14
2,Shangla resident confesses to killing daughter,SHANGLA: A resident has confessed to killing his daughter for “honour” in Lainsook area of Chakisar tehsil here...,"SHANGLA: A resident has confessed to killing his daughter for “honour” in Lainsook area of Chakisar tehsil here on Dec 30.
Munawar Khan made the confession before the local police and judicial magistrate.
He had killed his wife in Dec 1997 over a domestic dispute, according to police.
Head of the Chakisar police station Fazal Elahi told Dawn that he learned about the 22-year-old woman’s murder on Jan 5 leading to the start of an inquiry and the detention of her father, Munawar Khan.
He added that during interrogation, the detainee confessed to committing the murder in his jeep outside their house and burying the body in their ancestral graveyard.
The SHO said the accused insisted that his daughter left the house a year after her marriage to her cousin and that she had an extramarital affair with a man, who currently lived abroad.
He said he asked his daughter to return to her husband’s house but she wanted to divorce her husband to marry another man.
Mr Elahi said the accused recorded the same statement in the court of judicial magistrate Yousaf Shah leading to the registration of an FIR under the Pakistan Penal Code’s sections 302, 311, 201 and 202 and the start of investigation.
He also said the accused was booked in Dec 1997 for pushing his wife into a river in the Ranyal area but was released from the jail 20 days later due to a patch-up with the deceased’s family.
POLL TICKET: The Jamiat Ulema-i-Islam-Fazl’s Puran tehsil chapter has demanded of the leadership to review its decision about election nomination.
The demand was made during a meeting attended by local party leaders Dr Abid Khan, Haji Zahid and many others.
The participants said they had been loyal to the party for decades but its election ticket was awarded to a new entrant.
Mr Zahid claimed that the district and tehsil emirs weren’t taken on board about the award of the ticket and seat adjustment with the PML-N in the area.
He warned the party’s local leadership won’t support that candidate if its reservations weren’t addressed.
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805595/shangla-resident-confesses-to-killing-daughter,peshawar,2024-01-14
3,SNGPL officials promoted,PESHAWAR: Sui Northern Gas Pipelines Limited has announced promotions of some senior officials. According to a...,"PESHAWAR: Sui Northern Gas Pipelines Limited has announced promotions of some senior officials.
According to a statement issued here on Saturday, Saqib Arbab, senior general manager (SGM) (D) North, has been promoted as deputy managing director (operations).
Mr Arbab also served in Khyber Pakhtunkhwa as general manager from 2013 to 2019, and earned good repute because of gas reforms he made. He also brought down the company losses considerably during his tenure.
The board also approved promotion of Faisal Iqbal, currently serving as chief financial officer, as deputy managing director (DMD) services. He, however, will continue to look after the responsibilities of chief financial officer till further orders. 
Kamran Akram, general manager (RA), has been promoted as head of internal audit. 
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805594/sngpl-officials-promoted,peshawar,2024-01-14
4,"Women, lawyers among PML-N and PTI election nominees in KP",Tehreek-i-Insaf candidates also include ex-ministers and lawmakers.,"PESHAWAR: The Pakistan Muslim League-Nawaz on Saturday announced names of its national and provincial assembly candidates for the Feb 8 elections in Khyber Pakhtunkhwa with two women contesting polls for the National Assembly’s general seats.
The women nominees include Farah Khan (NA-24 Charsadda-I) and Sobia Shahid (NA -29 Peshawar-II and NA-31 Peshawar-IV).
Also, the Pakistan Tehreek-i-Insaf awarded election tickets for 115 seats of the Khyber Pakhtunkhwa Assembly with six women among nominees.
Khyber Pakhtunkhwa has 45 general seats in the National Assembly, while provincial assembly general seats total 115.

Tehreek-i-Insaf candidates also include ex-ministers and lawmakers

The list of the PML-N’s election candidates shows that former prime minister Nawaz Sharif’s party has fielded Iftikharuddin in NA-I Chitral constituency, Amir Muqam in NA-2 Swat-I, Wajid Ali Khan in NA-3 Swat-II, Mohammad Nisar Khan in NA-5 Upper Dir, Roohullah Khan in NA-6 Lower Dir-I, Yasir Khan in NA-7 Lower Dir-II, Shahabuddin Khan in NA-VIII Bajaur, Sajjad Ahmad in NA-9 Malakand, Salar Khan in NA-10 Buner, Amir Muqam in NA-11 Shangla, Sardar Mohammad Yousaf in NA-14 Mansehra, Nawaz Sharif in NA-15 Mansehra-cum-Torghar, Javed Abbasi in NA-16 Abbottabad-I, Mohabbat Khan in NA-17 Abbottabad-II, Babar Nawaz Khan in NA-18 Haripur , Mohammad Sheraz in NA-19 Swabi-I, Afsar Ali Khan in NA-20 Swabi-II, Jamshed Khan in NA-21 Mardan-I, Mumtaz Ali Khan in NA-23 Mardan-III, Farah Khan in NA-24 Charsadda-I, Ihsanullah Khan for NA-25 Charsadda-II, Zar Khan for NA-26 Mohmand, Shah Jee Gul Afridi in NA-27 Khyber, Arbab Khizar Hayat Khan in NA-28 Peshawar-I, Sobia Shahid in NA-29 Peshawar-II, Raees Khan in NA-30 Peshawar-III, Sobia Shahid in NA-31 Peshawar-IV, Sher Rahman in NA-32 Peshawar-V, Ikhtiar Wali in NA-33 Nowshera-I, Mohammad Kashif in NA-34 Nowshera-II, Abbas Khan Afridi in NA-35 Kohat, Alhaj Mohammad Farid Mufakkar in NA-36 Hangu-cum-Orakzai, Mohammadullah in NA-37 Kurram, Akhlaq Yunus in NA-38 Karak, Ghaniur Rehman in NA-39 Bannu, Mohammad Nazir Khan in NA-40 North Waziristan, Mansoor Kamal Marwat in NA-41 Lakki Marwat, Ghalib Khan in NA-42 South Waziristan Upper-cum-South Waziristan (Lower) and Mohammad Akbar Khan in NA-43 Tank-cum-Dera Ismail Khan.
According to the list of candidates for provincial assembly election, Mohammad Wazir is the PML-N nominee for PK-1 Upper Chitral, Shakoor Mohammad for PK-2 Lower Chitral, Jehangir for PK-3 Swat-I, Sardar Khan for PK-4 Swat-II, Amir Muqam for PK-5 Swat-III, Irshad Ali Khan for PK-6 Swat-IV, Tilawat Khan for PK-7 Swat-V, Jalat for PK-8 Swat-VI, Azmat Ali Khan for PK-9 Swat-VII, Maqsood Ali Khan for PK-10 Swat-VIII, Abdul Ghafar for PK-11 Upper Dir-I, Amir Nawaz Khan for PK-12 Upper Dir-II, Mohammad Nisar Khan for PK-13 Upper Dir-III, Malak Mohammad Noman for PK-14 Lower Dir-I, Zaidullah Khan for PK-15 Lower Dir-II, Mohammad Sajid for PK-16 Lower Dir-III, Abidullah for PK-17 Lower Dir-IV, Mohammad Zaman Khan for PK-18 Lower Dir-V, Ikram Khan for PK-19 Bajaur-I, Shahabuddin Khan for PK-20 Bajaur-II, Mohammad Zahoor Khan for PK-21 Bajaur-III, Naeemullah Khan for PK-23 Malakand-I, Mohammad Isal for PK-24 Malakand-II, Shah Bakht Rawan for PK-25 Buner-I, Syed Nasar
Abbas for PK-26 Buner-II, Dilawar Khan for PK-27 Buner-III, Mohammad Rashad Khan for PK-29 Shangla-II, and Ibadullah Khan for PK-30 Shangla-III.
The other candidates include Haji Syed Jan Khan for PK-31 Upper Kohistan, Hafizul Asad for PK-32 Lower Kohistan, Wali Mohammad Khan for PK-35 Battagram-II, Syed Junaid Ali Qasim for PK-36 Mansehra-I, Zahoor Ahmad for PK-37 Mansehra-II, Mohammad Naeem for PK-38 Mansehra-III, Mohammad Arif for PK-39 Mansehra-VI, Shahjahan Yousuf for PK-40 Mansehra-V, Taimoorullah Khan for PK-41 Torghar, Sardar Farid Ahmad Khan for PK-42 Abbottabad-I, Sardar Khalid Rehman for PK-43 Abbottabad-II, Sardar Aurangzeb Nalota for PK-44 Abbottabad-III, Mohammad Arshad for PK-45 Abbottabad-IV, Shaista Khan for PK-46 Haripur-I, Mohammad Hamid Shah for PK-48 Haripur-III, Mohammad Sheraz for PK-49 Swabi-I, Babar Khan for PK-50 Swabi-II, Nawabzada for PK-51 Swabi-III Rawal Taj for PK-52 Swabi-IV, Adil Khan for PK-53 Swabi-V, Iqbal Hussain for PK-54 Mardan-I Tariq Saleem for PK-55 Mardan-II, Waqar Ahmad for PK-56 Mardan-III, Abdullah for PK-57 Mardan-IV, Mohammad Imran Khan for PK-58 Mardan-V, Fakhr Uz Zaman for PK-59 Mardan-VI, Mumtaz Ali Khan for PK-60 Mardan-VII, and Jamshid Khan for PK-61 Mardan-VIII.
The PML-N fielded Sheraz Hassan in PK-62 Charsadda-I constituency, Asad Khan in PK-63 Charsadda-II, Fawad Ihsan in PK-64 Charsadda-III, Farah Khan in PK-65 Charsadda-IV, Farah Khan in PK-66 Charsadda-V, Hayatullah Khan in PK-67 Mohmand-I, Baghi Jan Khan in PK-68 Mohmand-II, Shafiq Afridi in PK-69 Khyber-I, Bilawal Afridi in PK-70 Khyber-II, Sohail Ahmad in PK-71 Khyber-III, Azmat Khan in PK-72 Peshawar-I, Arbab Afzal Akbar in PK-74 Peshawar-III, Arbab Ghulam Farooq in PK-75 Peshawar-IV, Sobia Shahid in PK-76 Peshawar-V, Sajid Raza in PK-77 Peshawar-VI, Zahir Khan in PK-78 Peshawar-VII, Jalal Khan in PK-79 Peshawar-VIII, Syed Haider Shah in PK-80 Peshawar-IX, Waqas Biland in PK-81 Peshawar-X, Mohammad Nadeem in PK-82 Peshawar-XI, Hazrat Bilal in PK-83 Peshawar-XII and Sher Rahman in PK-84 Peshawar-XIII.
The other nominees are Liaquat Wali for PK-85 Nowshera-I, Syed Zulfiqar Ali Shah for PK-86 Nowshera-II, Saeed Zaman for PK-87 Nowshera-III, Ikhtiar Wali for PK-88 Nowshera-IV, Mohammad Alam Sharif for PK-89 Nowshera-V, Mohammad Riaz Khan for PK-90 Kohat-I, Abbas Khan Afridi for PK-91 Kohat-II, Habibullah for PK-92 Kohat-III, Qari Wajeed Rehman for PK-93 Hangu, Baserat Khan for PK-94 Orakzai, Mohammad Ali Khan Orakzai for PK-95 Kurram-I, Asilur Rehman for PK-97 Karak-I, Shakirullah for PK-98 Karak-II, Ghaniur Rehman for PK-99 Bannu-I, Rasool Nawaz Sadiq for PK-101 Bannu-III, Sami Ullah Shah for PK-102 Bannu-IV, Safdar Zaman for PK-104 North Waziristan-II, Mansoor Kamal Marwat for PK-105 Lakki Marwat-I, Mohammad Mamoon for PK-106 Lakki Marwat-II, Mati Ullah for PK-107 Lakki Marwat-III , Janzeba Azam for PK-108 Tank, Yar Mohammad for PK-109 South Waziristan Upper, Mohammad Kashif for PK-110 South Waziristan Lower, Mohammad Ali Raza for PK-111 Dera Ismail Khan-I, Sirhaan Ahmed Khan for PK-112 Dera Ismail Khan-II and Rehan Malik for PK-113 Dera Ismail Khan-III.
As for the PTI’s candidates for provincial assembly seats, they include former ministers and lawmakers, seven lawyers and six women.
Noted among them are PTI provincial president Ali Amin Gandapur from Dera Ismail Khan, Shaukat Yousafzai from Shangla, and Mehmood Jan, Taimur Jhagra and Kamran Bangash from Peshawar.
The women fielded in electoral arena include Surraya Bibi (PK-I Upper Chitral), Tehmina Faheem (PK-31 Upper Kohistan), Momina Basit (PK-33 Kolai-Palas Kohistan), Shakeela Rabbani (PK-41 Torghar), Naureen Arif (PK-81 Peshawar) and Roshan Bibi (PK-115 Dera Ismail Khan).
Some new faces have entered electoral politics. They include lawyers Ali Zaman (PK-73 Peshawar) and Shahab Khan (PK-75 Peshawar). They are members of the PTI’s Insaf Lawyers Forum and are pursuing party cases in courts of law.
The other lawyers who got the former ruling party’s tickets are Ali Shah (PK-4 Swat), Kabeer Khan (PK-27 Buner), Munir Lughmani (PK-36 Mansehra) and Ehtisham Khan (PK-61 Mardan).
The other new faces introduced in Peshawar include Samiullah (PK-76 Peshawar), Hameedul Haq (PK-80 Peshawar) and Meena Khan Afridi (PK-83 Peshawar).
PTI provincial president Ali Amin Gandapur and his brother, Failsal Amin Gandapur, were named as candidates for Dera Ismail Khan’s PK-112 and PK-113 constituencies.
Aqibullah, the brother of former speaker National Assembly Asad Qaiser, will contest election in PK-50 Swabi-II. The PTI has allottedNA-19 Swabi-Iticket to Mr Qaiser.
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805593/women-lawyers-among-pml-n-and-pti-election-nominees-in-kp,peshawar,2024-01-14
5,CTD constable martyred in Bannu attack,LAKKI MARWAT: An official of the Counter-Terrorism Department was martyred when unknown miscreants attacked him in...,"LAKKI MARWAT: An official of the Counter-Terrorism Department was martyred when unknown miscreants attacked him in Azad Mandi area of Bannu district on Saturday.
A police official identified the deceased as constable Inamullah, a resident of Mureebkhel Bakkakhel area. He said that he was on official duty in the locality when he was attacked.
“The assailants fled the place, and the body was shifted to the District Headquarters Hospital to complete medico-legal formalities,” he maintained.
The official said a contingent of police reached the rural area after the attack and launched a search for the assailants.
The body of the martyred cop was dispatched to Bakkakhel area for burial after his funeral prayers were offered at the police lines in Bannu city.
Police and military authorities, relatives of the deceased and people from different walks of life attended the funeral.
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805592/ctd-constable-martyred-in-bannu-attack,peshawar,2024-01-14
6,Fazl’s five family members to contest polls,"DERA ISMAIL KHAN: Five members of the family of Jamiat Ulema-i-Islam-Fazl chief Maulana Fazlur Rehman, including his...","DERA ISMAIL KHAN: Five members of the family of Jamiat Ulema-i-Islam-Fazl chief Maulana Fazlur Rehman, including his two sons and two brothers, are contesting the upcoming elections, while two women of his family have also been nominated for the reserved seats.
The Maulana’s elder son Maulana Asad Mahmood is contesting elections from NA-45, Tank-cum-Dera Ismail Khan, while his youngest son, Asjad Mehmood is contesting from NA-41, Lakki Marwat.
Asad had won the Tank NA seat in the 2018 elections.
After the new census, this constituency has been slightly altered, and it now also includes Dera’s Yarik area and the Maulana’s native Paniala area.
The JUI-F chief’s brother, Senator Maulana Atta ur Rehman had also won the Tank-cum-Dera seat twice in the past.
Fazlur Rehman himself is contesting from NA-44, Dera Ismail Khan, while he has also submitted nomination papers from Pishin, Balochistan.
From NA-45, the Maulana’s youngest brother, Maulana Obaidur Rehman, is contesting for the first time. 
In the 2018 elections, the Maulana himself had contested the NA-44 and NA-45 seats, which were earlier NA-38 and NA-39, and lost.
The Maulana’s another brother, Maulana Lutfur Rehman, is contesting from PK-114, Prova. Mr Lutfur has won this seat twice.
The names of Mr Rehman’s two sisters-in-law have also been finalised for reserved seats for women.
Shahida Akhtar Ali’s name is included for the National Assembly. 
She has been elected to reserved seats for women several times in the past.
Rehana Ismail’s name has also been added to the seats reserved for women in the provincial assembly.
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805591/fazls-five-family-members-to-contest-polls,peshawar,2024-01-14
7,"Over 20,000 govt employees to help out police on election day",Officials say CCTV cameras to be installed at all ‘sensitive’ polling stations in province,"PESHAWAR: The Khyber Pakhtunkhwa government has decided to task more than 20,000 employees of its departments with helping the police ensure security on election day in the province.
The decision was made in a meeting jointly chaired by provincial chief secretary Nadeem Aslam Chaudhry and police chief Akhtar Hayat Khan here.
Additional chief secretary (home and tribal affairs) Mohammad Abid Majeed, regional police officers, divisional commissioners and deputy commissioners attended the meeting via video link.
The meeting reviewed security arrangements for the Feb 8 general elections in the province and related matters, according to an official statement.

Officials say CCTV cameras to be installed at all ‘sensitive’ polling stations in province

The meeting was informed that a large number of police personnel would be given security duty across the province on the polling day.
The chief secretary directed the civil defence directorate and other government departments to depute their employees to assist police in security duty on polling day.
Officials said the forest and wildlife departments had promised to offer around 1,200 and 700 personnel for election duty.
They said the police would also be assisted on election duty by around 500 of the excise, taxation and narcotics control department, 270 of the anti-corruption establishment, 1,977 women employees of the population welfare department, 12,000 women staff members of the health department and 4,125 volunteers of the civil defence department.
The meeting decided that close-circuit television cameras would be installed at all sensitive polling stations across the province.
Officials informed participants that the provincial government had doled out funds for facilities at polling stations, according to the official statement.
The deputy commissioners informed the meeting about polling stations in snow-bound areas and arrangements made for the smooth holding of polling there.
They said that they had already chalked out plans for elections in those areas and the relocation of polling stations.
Chief secretary Nadeem Aslam Chaudhry told the meeting that it was the foremost priority of the government to hold free and fair elections in the province.
He directed officials to ensure the implementation of the election code of conduct issued by the Election Commission of Pakistan in letter and spirit.
Mr Chaudhry also issued orders for the clearance of roads in snow-bound districts for the transportation of election-related materials and said that all equipment and facilities required for the purpose would be ensured.
He directed the tourism, local government and communication and works departments and Pakhtunkhwa Highway Authority to ensure close coordination among them for election arrangements in the snowbound areas of the province.
The chief secretary directed officials to perform their respective duties diligently in performing the national duty of holding the Feb 8 elections.
The officials later visited polling station venues in Charbagh tehsil of Swat district to review arrangements and preparations for polls.
They reviewed security arrangements and were briefed by the administration about the measures taken for ensuring security and facilitating voters on the polling day.
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805590/over-20000-govt-employees-to-help-out-police-on-election-day,peshawar,2024-01-14
8,Growers reject tobacco price fixed for current year,"SWABI: Growers have rejected the Rs505 per kilogramme tobacco purchasing price fixed for the current year, and...","SWABI: Growers have rejected the Rs505 per kilogramme tobacco purchasing price fixed for the current year, and announced to launch a protest movement against the federal ministry of commerce over its decision.
They made the decision during a meeting held at Mathra Park in Dagi here on Saturday. 
The participants declared that the purchasing companies had deceived the farmers as they had failed to fulfill the pledges on several occasions. They also blasted the Pakistan Tobacco Board for its ‘controversial’ role in determining tobacco price, and ‘always toeing the company’s line’.
A large number of farmers from across the district participated in the protest meeting. 
The participants vowed to continue their struggle from a joint platform, resisting the ‘tactics’ used by the companies to earn billions of rupees at the cost of poor growers.
Ittehad Kashtkaran chairman Arif Ali Khan, central president of Tobacco Growers Association Pakistan Liaqat Yousafzai, Faridullah Kaka, a leader of Kashtkar Coordination Council, and others spoke on the occasion.
The growers’ leaders demanded that the per kg tobacco rate should be fixed in proportion to the prevailing record inflation and the high expenditures incurred on production of the crop.
On the occasion, Arif Ali recalled that the companies bought tobacco from growers at Rs425 per kg at initial stage in the 2023 season, but the market price later jumped to Rs1,200 per kg. He said the firms promised to pay the arrears at the end of the season as per the final rate, but to no avail.
Liaqat Yousafzai said different growers’ associations had jointly started a campaign, collecting vouchers of the low purchase price from farmers, who had agreements with the companies.
In the second phase, he said a sit-in would be staged outside the gates of the tobacco purchase centres in the production areas.
The growers’ leaders said in case of the companies’ failure to meet the demands, a campaign would be launched, asking farmers to switch to other crops. 
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805589/growers-reject-tobacco-price-fixed-for-current-year,peshawar,2024-01-14
9,Walk held to raise awareness of cleanliness in DI Khan,DERA ISMAIL KHAN: The workers of water and sanitation services company (WSSC) Dera Ismail Khan held a walk to raise...,"DERA ISMAIL KHAN: The workers of water and sanitation services company (WSSC) Dera Ismail Khan held a walk to raise awareness among people about cleanliness.
The walk was held as part of cleanliness campaign on the directives of provincial government under Khushal Khyber Pakhtunkhwa Programme. A large number of people from different walks of life participated in the walk.
WSSC has started cleaning drains in six urban union councils of the district for easy disposal of sewage in collaboration with Health Education and Development Society (Heads) and International Rescue Committee (IRC).
The participants of the walk said that the role of WSSC was important in cleaning the city. “We are committed to providing better living conditions to people of Dera Ismail Khan. The cleanliness drive of the city under Khushal Khyber Pakhtunkhwa Programme is a step towards achieving this goal,” said Syed Sada Hussain Shah, the chief of WSSC. 
He called for raising awareness among people about importance of keeping the environment clean. He said that people should put the garbage at designated places so that it could be disposed of easily.
CRACKDOWN: Police have intensified crackdown on illegal fuel agencies across the district and recovered 11,075 litres of diesel and petrol.
According to a police spokesman, following the directions of district police officer Abdul Rauf Babar Qaisrani, a crackdown has been launched on illegal fuel agencies across the district.
Police have registered cases against 10 persons involved in the business of illegal fuel in different areas of the district.
Published in Dawn, January 14th, 2024
",https://www.dawn.com/news/1805588/walk-held-to-raise-awareness-of-cleanliness-in-di-khan,peshawar,2024-01-14
