,Header,Summary,Detail,Link,Category,CreationDate
0,Punjab govt to set up enforcement authorities to rein in price hike,"CM gives nod for new authorities at provincial, district, tehsil levels.","LAHORE: The Punjab government has announced setting up a provincial enforcement authority to check the price hike. 
Presiding over a meeting to review the implementation of various government policies on Tuesday, Chief Minister Maryam Nawaz directed the officials to establish the Provincial Enforcement Authority in Punjab.  
“Enforcement authorities will also be established in every district and tehsil of Punjab. The Provincial Enforcement Authority will be headed by the chief secretary supported by a DG. The district enforcement authorities will be headed by deputy commissioners while the tehsil enforcement authorities will be headed by the respective ACs,” she said. 
The enforcement authorities would have the powers to take action against the price hike, encroachment of government land and hoarding, besides performing other special tasks assigned by the government from time to time.

CM gives nod for new authorities at provincial, district, tehsil levels

The chief minister directed the officials to make these enforcement authorities functional within six months and immediately start legislation for the purpose. She approved a proposal to amend 11 laws, rules and ordinances for the establishment of the authorities across the province.
“A police station and a special force will be established at the tehsil level under the supervision of the tehsil enforcement authority. The authority in-charge, investigation officers, enforcement officers and constables will be appointed in a tehsil enforcement authority, which will have the powers to register cases, investigate them and to make arrests in addition to the enforcement of law,” she said while addressing the participants of the meeting. 
The chief minister further added: “The offices of provincial and district enforcement authorities are being established to ensure effective monitoring.” 
Senior Provincial Minister Marriyum Aurangzeb, Senator Pervaiz Rasheed,  Provincial Minister for Food Bilal Yasin, Minister for Information and Culture Azma Zahid Bokhari, Minister for Agriculture Muhammad Ashiq Hussain, MPA Sania Ashiq, the chief secretary, secretaries agriculture and finance and other relevant officers attended the meeting.
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829219/punjab-govt-to-set-up-enforcement-authorities-to-rein-in-price-hike,lahore,2024-04-24
1,Police rankers step up to reclaim reserved posts,"LAHORE: After a gap of a few years, a think tank of serving and retired ranker police officers from Punjab has again...","LAHORE: After a gap of a few years, a think tank of serving and retired ranker police officers from Punjab has again launched a move for the creation of the Provincial Police Service (PPS) to challenge the ‘dominance’ of the Police Service of Pakistan (PSPs) across the province.
The prime objective of the think tank is to reclaim the reserved posts which the officers argue, have been occupied by the PSPs in violation of the rules and regulations.
In the initial phase, the group has planned a baithak (seminar) at a hotel in Lahore on Wednesday (today) under the auspices of Republic Policy Organisation, inviting the police officials and others from all the ranks to attend, shed light on the longstanding issue and submit recommendations in order to ‘reform’ the police in Punjab.  
A retired superintendent of police (SP) Tahir Maqsood Chheena is leading the move while many serving provincial police officers, who have joined the initiative, include SPs Syed Mohammad Abbas, Khalid Mahmood Afzal and Dr Mustansar Atta Bajwa.
The event has been organised two years after some provincial service police officers in 2022 brought a matter to the notice of the then chief secretary that the PSP officers were occupying “illegally” nearly 200 seats reserved for the provincial cadre and the matter was shelved for an indefinite period as no progress was made in this respect so far.  
Through a letter, they had pointed out [at that time] that according to the schedule and the Inter-provincial Coordination Committee minutes of the meeting, only 162 out of 362 sanctioned posts were allocated to the Federal Services of Pakistan strength on a ‘sharing basis’, while the remaining posts were reserved for the provincial service.
“We are going to join heads at a historic occasion to discuss decades-old issue in today’s seminar”, Mr Tahir, who is also president of the organisation, told Dawn here on Tuesday. He said they wanted creation of the PPS on the pattern of the Provincial Management Service (PMS) in Punjab for the rights of provincial police service.
In Pakistan, Mr Tahir said, policing has undergone devolution, especially, in the wake of the 18th amendment to the Constitution.
“However, the federal police service/Police Service of Pakistan still controls policing at the provincial and district levels despite constitutional obligations”, the retired SP said.He said under Article 240 (b) and the PCS Acts, policing falls within the purview of provincial authority, necessitating the development of the provincial police service for effective policing in Punjab. 
Additionally, Mr Tahir said the district police service plays a significant role as policing is always devolved to the most localised tier. 
He went on saying that this system guaranteed that the policing is tailored to each district’s needs and challenges.
“So, creating the provincial police service in line with the provincial management service has become a critical subject for executing an exclusive provincial subject of policing”, the retired SP said.
If created, the PPS shall only be answerable to the province contrary to the PSPs who have nothing to do with the province and represent only the federal government, the SP said.
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829217/police-rankers-step-up-to-reclaim-reserved-posts,lahore,2024-04-24
2,PFA slaps fine on 37 food business operators,LAHORE: The Punjab Food Authority (PFA) has levied fines totalling Rs1.234 million on 37 food business operators...,"LAHORE: The Punjab Food Authority (PFA) has levied fines totalling Rs1.234 million on 37 food business operators (FBOs) and disposed of 302kg of unhygienic meat, along with a significant quantity of unwholesome food, including expired cold drinks. 
Also, the authority issued improvement notices to 35 food establishments during a crackdown targeting prominent marts, superstores, and fast-food outlets to uphold food safety standards.
PFA teams conducted surprise visits to various marts across the provincial metropolis to assess food quality, hygiene standards, and adherence to food safety regulations, as well as to oversee field team activities.  
The authority imposed substantial fines for selling substandard loose cooking oil, expired cold drinks, and spoiled meat. During the raids, rusty vessels and freezers were also observed.
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829216/pfa-slaps-fine-on-37-food-business-operators,lahore,2024-04-24
3,Iranian first lady visits University of Home Economics,LAHORE: Iranian First Lady Dr Jamileh Alamolhoda on Tuesday visited the University of Home Economics to strengthen...,"LAHORE: Iranian First Lady Dr Jamileh Alamolhoda on Tuesday visited the University of Home Economics to strengthen bilateral relations.
First Lady Dr Jamileh Alamolhoda attended a special ceremony in her honour at the campus where her book, ‘The Art of Living’, was also unveiled.
UHE Vice Chancellor Prof Dr Faleeha Zahra Kazmi held a detailed discussion on the depth of Pakistan-Iran relations and declared the mutual culture, knowledge, and literature of both countries as the heritage of the region.
She emphasized that the leadership of both countries should enhance bilateral relations to deal with regional and global progress and the common threat of terrorism.
Dr Alamolhoda highlighted the strong historical, cultural, and religious bilateral relations between Pakistan and Iran.
She outlined Iran’s agenda to strengthen relations and increase cooperation in various sectors, including trade, communication, energy, and people-to-people contacts.
The first lady of Iran also emphasized the importance of women’s autonomy and education. She drew parallels between the educational institutions for women in Iran and Pakistan, stating that they provide ample opportunities for women to move forward.
The visit also saw the inauguration of an exhibition on Pakistani culture under the faculty and Art and Design of the university. A special shield was presented to Dr Alamolhoda by Vice Chancellor Kazmi.
The ceremony was attended by a large number of important officials and students, including Punjab Senior Minister Maryam Aurangzeb and Lahore College for Women University VC Dr Shagufta Naz.
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829215/iranian-first-lady-visits-university-of-home-economics,lahore,2024-04-24
4,Govt releases Rs643m for BVH revamp,BAHAWALPUR: The Punjab government released Rs643m funds for the revamp of the Bahawal Victoria Hospital (BVH) and...,"BAHAWALPUR: The Punjab government released Rs643m funds for the revamp of the Bahawal Victoria Hospital (BVH) and issued orders for reopening of its several outpatient departments (OPDs). 
It may be recalled that during the caretaker Punjab government, the wards and departments of the hospital were shut down in September 2023. The patients were asked to go to other government like the Nawab Sadiq Hospital, Jhangiwali Road, where all specialists and doctors of the BVH were also shifted. 
However, most of the patients avoided going there and fell prey to the private hospitals.  
During a visit to the hospital in February, the caretaker chief minister Mohsin Naqvi opened the OPD although its revamp was still incomplete, with the result that the OPD remained inoperative.  
The incumbent government issued orders to reopen the OPD and released all the required funds.  
Talking to Dawn, BVH Medical Superintendent Dr Aamir Bokhari said all the seven departments, including surgery, medicine and eye, had been reopened, which attracted about 3,000 patients on the first day (Tuesday). 
He said online registration of patients and issuance of medicines had been introduced in the new OPD while the released amount of Rs643m would now be utilised to for speedy completion of renovation work.
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829214/govt-releases-rs643m-for-bvh-revamp,lahore,2024-04-24
5,Four passport officials transferred over corruption,"GUJRAT: The federal government transferred four officials of the Gujranwala regional passport office, including its...","GUJRAT: The federal government transferred four officials of the Gujranwala regional passport office, including its in-charge, on complaints of corruption. 
According to a notification issued by the Directorate General of Immigration and Passports, Islamabad, dated April 22, Gujranwala Assistant Director (AD) Saeed Abbas had been transferred to the Okara office vice Malik Ghulam Mustafa who replaced Abbas in Gujranwala.  
Moreover, some members of the support staff were also transferred. Shahzad Khan was transferred from Gujranwala to Sialkot, Muhammad Bilal was transferred from Gujranwala to Kasur and Abdul Aleem was transferred from Gujranwala to Jhang. 
At least three officials from passport offices of Sialkot, Kasur and Jhang were also transferred and posted in Gujranwala. 
According to the official sources, the complaints of bribe against the Gujranwala officials were registered by the applicants. 
Saeed Abbas was suspended from the service from Gujrat office in November 2022 and the federal investigation agency (FIA) had also lodged a case against him and some other officials on charge of corruption.
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829213/four-passport-officials-transferred-over-corruption,lahore,2024-04-24
6,Aziz Tarar posted as information secretary,"LAHORE: The Punjab government has posted Ahmad Aziz Tarar, a member of the Planning and Development Board, as...","LAHORE: The Punjab government has posted Ahmad Aziz Tarar, a member of the Planning and Development Board, as information secretary vice Daniyal Saleem Gilani who has been made an officer on special duty (OSD). 
Tarar has also been entrusted with the additional charge of the DGPR after the transfer of Rubina Afzal who has been directed to report to the parent department. 
Sahiwal Deputy Commissioner retired Capt Ikramul Haq has been transferred and posted  as the director general of the Punjab Land Record Authority vice Saira Omar who has been directed to report to the Services and General Administration Department. 
Moreover, Sahiwal Additional Deputy Commissioner of Revenue Aitzaz Aslam Marth has been given additional responsibilities as the Sahiwal DC.
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829212/aziz-tarar-posted-as-information-secretary,lahore,2024-04-24
7,Stamp seller held in land grab case,SARGODHA: The Anti-Corruption Establishment (ACE) has arrested a stamp vendor for his involvement in issuing fake...,"SARGODHA: The Anti-Corruption Establishment (ACE) has arrested a stamp vendor for his involvement in issuing fake stamps in collusion with land grabbers to deprive a landowner of valuable assets.
The arrest was made on a complaint by Muhammad Afzal of village Salar in Sargodha district.  
Afzal alleged that stamp vendor Qaiser Hassan along with Rabnawaz and other suspects seized seven kanals and six marlas by preparing a fake stamp paper for a forged sale agreement.  
The purported fake stamp was submitted to the Punjab Forensic Science Agency for analysis of thumb impressions.  
The report confirmed the stamp as counterfeit, with fabricated thumbprints and the complainant’s forged signature.  
The ACE arrested Qaiser and efforts are underway to detain the remaining suspects.
ACCIDENT: Two persons killed in separate incidents.  
In the first incident, landlord Ghulam Abbas and his accomplices shot at and killed Mohsin Shahzad over a monetary dispute in the area of Naseerpur Khurd under the jurisdiction of Midh Ranjha police.  
The police registered a murder case and handed over the body to heirs after a post-mortem examination.
In another incident, Sajid Ali from the outskirts of the city was poisoned to death. Also, suspects raped a labourer’s wife in Kot Pehlwan.  
Similarly, a 25-year-old patient came from Chak 132-SB with her mother for a check-up at the Sillanwali THQ Hospital, from where she was abducted by gunmen. The police registered cases of these incidents and started searching for the abductee and the accused.
PROTEST: Tensions escalated in Chawewala as protestors voiced their anger against Sahiwal police, accusing them of violating the sanctity of privacy and property. 
Protesters allege that Muhammad Ali died due to police misconduct. According to locals, police officers trespassed into Muhammad Ali’s house, causing him to suffer a fatal heart attack. 
The deceased’s sons were implicated in a complaint filed by a local woman, leading to the tragic turn of events. The protesters demand justice for Muhammad Ali and condemn the unwarranted intrusion by the police into private property.
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829211/stamp-seller-held-in-land-grab-case,lahore,2024-04-24
8,Rape suspect held after bail cancellation,RAHIM YAR KHAN: Police claimed on Tuesday to have arrested a suspect involved in the alleged gang rape of a young ...,"RAHIM YAR KHAN: Police claimed on Tuesday to have arrested a suspect involved in the alleged gang rape of a young boy after cancellation of bail from the court.  
According to the first information report (FIR) registered with Khanpur Saddar police on March 16, complainant ‘Z’ , a resident of Pakistan Colony, told police that she was a household woman and mostly lives out of city for labour. 
She said her 12-year-old son ‘H’ works at Khanpur fruit and vegetable market for livelihood. She alleged that a month ago, fruit seller ‘A’ along with two others took the boy to his house, gang-raped him and made videos.  
The FIR said on March 1, 2024, they again took the boy and allegedly raped him. The suspects again made videos and threatened him, warning him not to disclose the incidents or face defamation.  
It said on March 16 when the suspect along with his accomplices was taking the boy towards Punj Mori, she with witnesses Waqar and Shabbir reached there. On seeing them, the suspects escaped.  
Police then registered an FIR under sections 376iii and 377B of Pakistan Penal Code. But later the suspect got bail from the court. On Tuesday, police arrested the main suspect after disposal of bail from the court.
Police spokesperson Saif Ali Wains told Dawn that it was a four-month-old issue but the family of the victim reported the case late. However, the main suspect involved in rape was a single person and he was arrested but two others were not nominated in the FIR. 
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829209/rape-suspect-held-after-bail-cancellation,lahore,2024-04-24
9,Girl killed by brother-in-law for sabotaging second marriage,SAHIWAL: A young girl was kidnapped and killed by her brother-in-law for sabotaging his second marriage against the...,"SAHIWAL: A young girl was kidnapped and killed by her brother-in-law for sabotaging his second marriage against the will of her sister in Arifwala.  
The victim was identified as 18-year-old Aqsa, a resident of Chak 17/SP, tehsil Arifwala. 
According to details, Amtul got married to Muhammad Aslam, a resident of Khudiyain Khas of district Kasur.  
A first information report (FIR), registered with Rang Shah Police, said Aslam had arranged his second marriage without informing Amtul. He was having a wedding at Chak 141/EB of tehsil Arifwala on April 21 and Amtul came to know about it. 
She informed her sisters, Aqsa and Ruqaiya, about the second marriage of her husband. April 21 Aqsa and Ruqaiya went to the house where the wedding ceremony was going on. 
They informed the girl’s family that Aslam was already married to their sister. Aslam got infuriated at it and he, in connivance with his accomplices, kidnapped Aqsa. They bundled her in a car and left the wedding venue.  
Meanwhile, Ruqaiya called 15 but Rang Shah police did not respond. Later, they registered a kidnap case against Aslam, his two brothers and two unidentified men on the complaint of Ruqaiya. Police failed to trace Aqsa for two days. On Tuesday, her body was found from a canal near Hujra Shah Muqeem.  
Police sources said Aqsa was strangled. Her body was sent to DHQ Hospital Pakpattan for an autopsy. Police converted the kidnap case into a murder. 
CROSSFIRE: An ambulance driver was killed in crossfire between Harappa police and robbers near Dad Fityana on the National Highway.  
Sources said the driver, Zahoor Ahmed, a resident of Village 85/EB, tehsil Arifwala, was returning home after leaving a patient in Chichawatni late at night. On the National Highway, he was caught in the crossfire between two robbers and Harappa police.  
However, Harappa SHO Waqas Dhako claimed that Zahoor was not killed in the crossfire but by the firing of robbers. He said two robbers tried to intercept Zahoor’s ambulance near Dad Fityana but he did not stop. The robbers opened fire on the ambulance. The bullets hit Zahoor and he died on the spot. 
Police registered a murder case against two unidentified robbers on the complaint of Zahoor’s brother Muhammad Hussain.  
PPLA: A woman is running for the central president slot in the Punjab Professors and Lecturers Association (PPLA) election scheduled for April 25 (tomorrow).  
Three college teacher panels, led by Faiza Raana from Ittehad-i-Asatiza, Pakistan (IAP), Dr Tariq Kaleem from Tehreek-i-Asatiza (TA) and Nadeen Ashrafi from Nawa-i-Asatiza (NA), are in the race for the main slot.  
This is the first time in the PPLA history that a woman, Faiza Raana, a professor at the Govt Graduate College, Lahore Cantt, is contesting for the president’s slot though among the total constituents, 63pc are women voters while the Lahore division alone has more than 70pc of women voters.  
Afzal Abid, the general secretary, said a special seat had been allocated to south Punjab in the central executive.
Published in Dawn, April 24th, 2024
",https://www.dawn.com/news/1829208/girl-killed-by-brother-in-law-for-sabotaging-second-marriage,lahore,2024-04-24
